valid_time,t2m_celsius,reported_temperature
2016-04-30 00:00:00,17.723297,18.0
2016-04-30 01:00:00,17.110382,17.0
2016-04-30 02:00:00,15.532013,16.0
2016-04-30 03:00:00,13.315216,13.0
2016-04-30 04:00:00,11.863434,12.0
2016-04-30 05:00:00,10.869659,11.0
2016-04-30 06:00:00,10.103058,10.0
2016-04-30 07:00:00,10.296234,10.0
2016-04-30 08:00:00,9.639374,10.0
2016-04-30 09:00:00,9.070709,9.0
2016-04-30 10:00:00,8.58139,9.0
2016-04-30 11:00:00,8.138702,8.0
2016-04-30 12:00:00,7.6662292,8.0
2016-04-30 13:00:00,8.256256,8.0
2016-04-30 14:00:00,10.380157,10.0
2016-04-30 15:00:00,12.518097,13.0
2016-04-30 16:00:00,14.218109,14.0
2016-04-30 17:00:00,15.412628,15.0
2016-04-30 18:00:00,15.856598,16.0
2016-04-30 19:00:00,16.19754,16.0
2016-04-30 20:00:00,16.147919,16.0
2016-04-30 21:00:00,16.139252,16.0
2016-04-30 22:00:00,16.337921,16.0
2016-04-30 23:00:00,16.230682,16.0
2016-05-01 00:00:00,16.032013,16.0
2016-05-01 01:00:00,15.567474,16.0
2016-05-01 02:00:00,14.666962,15.0
2016-05-01 03:00:00,12.6111145,13.0
2016-05-01 04:00:00,11.278961,11.0
2016-05-01 05:00:00,10.150543,10.0
2016-05-01 06:00:00,9.117706,9.0
2016-05-01 07:00:00,8.192902,8.0
2016-05-01 08:00:00,7.3404236,7.0
2016-05-01 09:00:00,6.612335,7.0
2016-05-01 10:00:00,5.935028,6.0
2016-05-01 11:00:00,5.363739,5.0
2016-05-01 12:00:00,4.9459534,5.0
2016-05-01 13:00:00,5.7374573,6.0
2016-05-01 14:00:00,8.484833,8.0
2016-05-01 15:00:00,11.845734,12.0
2016-05-01 16:00:00,14.374298,14.0
2016-05-01 17:00:00,16.448639,16.0
2016-05-01 18:00:00,17.90982,18.0
2016-05-01 19:00:00,19.340302,19.0
2016-05-01 20:00:00,20.383087,20.0
2016-05-01 21:00:00,21.219452,22.0
2016-05-01 22:00:00,21.817596,22.0
2016-05-01 23:00:00,22.171234,22.0
2016-05-02 00:00:00,22.138153,22.0
2016-05-02 01:00:00,21.596893,22.0
2016-05-02 02:00:00,19.831757,20.0
2016-05-02 03:00:00,17.552216,18.0
2016-05-02 04:00:00,15.587433,16.0
2016-05-02 05:00:00,14.25235,14.0
2016-05-02 06:00:00,13.116791,13.0
2016-05-02 07:00:00,12.529572,13.0
2016-05-02 08:00:00,11.491058,11.0
2016-05-02 09:00:00,10.722137,11.0
2016-05-02 10:00:00,10.036957,10.0
2016-05-02 11:00:00,9.366547,9.0
2016-05-02 12:00:00,8.761261,9.0
2016-05-02 13:00:00,9.263153,9.0
2016-05-02 14:00:00,12.166626,12.0
2016-05-02 15:00:00,15.732758,16.0
2016-05-02 16:00:00,18.7995,19.0
2016-05-02 17:00:00,21.393066,22.0
2016-05-02 18:00:00,23.316864,24.0
2016-05-02 19:00:00,25.001373,26.0
2016-05-02 20:00:00,25.8013,26.0
2016-05-02 21:00:00,26.354156,26.0
2016-05-02 22:00:00,26.673492,26.0
2016-05-02 23:00:00,26.712616,26.0
2016-05-03 00:00:00,26.455536,26.0
2016-05-03 01:00:00,25.059723,26.0
2016-05-03 02:00:00,23.390778,24.0
2016-05-03 03:00:00,20.5372,20.0
2016-05-03 04:00:00,17.872986,18.0
2016-05-03 05:00:00,16.40207,16.0
2016-05-03 06:00:00,15.486969,15.0
2016-05-03 07:00:00,15.422943,15.0
2016-05-03 08:00:00,14.769745,15.0
2016-05-03 09:00:00,14.240387,14.0
2016-05-03 10:00:00,13.737457,14.0
2016-05-03 11:00:00,13.272247,13.0
2016-05-03 12:00:00,12.838104,13.0
2016-05-03 13:00:00,13.596222,14.0
2016-05-03 14:00:00,15.5295105,16.0
2016-05-03 15:00:00,18.241974,18.0
2016-05-03 16:00:00,20.590668,20.0
2016-05-03 17:00:00,22.741608,22.0
2016-05-03 18:00:00,24.658478,24.0
2016-05-03 19:00:00,26.87149,26.0
2016-05-03 20:00:00,27.685211,28.0
2016-05-03 21:00:00,28.499298,28.0
2016-05-03 22:00:00,28.687103,28.0
2016-05-03 23:00:00,28.37082,28.0
