date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2024-12-01,-13.42,4.92,30,"1994-12-01 2023-12-01",86.37,5.8,30,"1994-12-01 2023-12-01",-9.82,5.02,30,"1994-12-01 2023-12-01",18.36,2.11,30,"1994-12-01 2023-12-01",-21.63,5.19,30,"1994-12-01 2023-12-01",71.77,6.38,30,"1994-12-01 2023-12-01",-19.3,4.71,30,"1994-12-01 2023-12-01",2.02,0.98,30,"1994-12-01 2023-12-01",14.96,9.93,30,"1994-12-01 2023-12-01",,,,,,,,,18.5,10.86,25,"1994-12-01 2023-12-01",,,,
2024-11-01,-6.89,3.23,30,"1994-11-01 2023-11-01",90.32,3.83,30,"1994-11-01 2023-11-01",-2.88,3.34,30,"1994-11-01 2023-11-01",19.59,2.04,30,"1994-11-01 2023-11-01",-13.55,3.62,30,"1994-11-01 2023-11-01",69.49,4.86,30,"1994-11-01 2023-11-01",-11.5,3.3,30,"1994-11-01 2023-11-01",2.46,1.04,30,"1994-11-01 2023-11-01",15.01,9.49,30,"1994-11-01 2023-11-01",,,,,,,,,7.6,5.1,22,"1994-11-01 2023-11-01",,,,
2024-10-01,0.84,1.46,30,"1994-10-01 2023-10-01",90.89,4.3,30,"1994-10-01 2023-10-01",7.98,2.78,30,"1994-10-01 2023-10-01",21.24,2.5,30,"1994-10-01 2023-10-01",-4.34,1.6,30,"1994-10-01 2023-10-01",55.89,8.86,30,"1994-10-01 2023-10-01",-1.88,1.64,30,"1994-10-01 2023-10-01",2.76,1.35,30,"1994-10-01 2023-10-01",22.63,15.91,30,"1994-10-01 2023-10-01",,,,,,,,,1.2,1.57,15,"1994-10-01 2023-10-01",,,,
2024-09-01,7.94,1.81,30,"1994-09-01 2023-09-01",92.99,4.44,30,"1994-09-01 2023-09-01",16.96,2.53,30,"1994-09-01 2023-09-01",21.7,1.83,30,"1994-09-01 2023-09-01",2.11,1.96,30,"1994-09-01 2023-09-01",48.91,6.26,30,"1994-09-01 2023-09-01",4.1,1.84,30,"1994-09-01 2023-09-01",2.17,1.08,30,"1994-09-01 2023-09-01",39.87,27.18,30,"1994-09-01 2023-09-01",,,,,,,,,0.1,0.27,13,"1994-09-01 2009-09-01",,,,
2024-08-01,12.79,1.37,30,"1994-08-01 2023-08-01",93.25,3.73,30,"1994-08-01 2023-08-01",22.64,1.93,30,"1994-08-01 2023-08-01",21.07,2.02,30,"1994-08-01 2023-08-01",7.12,1.31,30,"1994-08-01 2023-08-01",46.24,5.63,30,"1994-08-01 2023-08-01",9.24,1.2,30,"1994-08-01 2023-08-01",1.89,1.16,30,"1994-08-01 2023-08-01",63.76,38.05,30,"1994-08-01 2023-08-01",,,,,,,,,0,0,14,"1994-08-01 2007-08-01",,,,
2024-07-01,13.77,1.24,30,"1994-07-01 2023-07-01",91.52,3.54,30,"1994-07-01 2023-07-01",24.37,1.33,30,"1994-07-01 2023-07-01",21.55,1.67,30,"1994-07-01 2023-07-01",8.11,1.18,30,"1994-07-01 2023-07-01",43.58,4.53,30,"1994-07-01 2023-07-01",11.01,0.99,30,"1994-07-01 2023-07-01",1.91,1.13,30,"1994-07-01 2023-07-01",81.25,33.58,30,"1994-07-01 2023-07-01",,,,,,,,,0,0,13,"1994-07-01 2007-07-01",,,,
2024-06-01,10.6,1.35,30,"1994-06-01 2023-06-01",88.4,5.41,30,"1994-06-01 2023-06-01",22.12,1.36,30,"1994-06-01 2023-06-01",21.91,2.47,30,"1994-06-01 2023-06-01",4.5,1.69,30,"1994-06-01 2023-06-01",40.08,5.51,30,"1994-06-01 2023-06-01",8.51,1.36,30,"1994-06-01 2023-06-01",2.13,1.17,30,"1994-06-01 2023-06-01",73.58,40.79,30,"1994-06-01 2023-06-01",,,,,,,,,0,0,14,"1994-06-01 2007-06-01",,,,
2024-05-01,3.8,1.92,30,"1994-05-01 2023-05-01",82.16,6.42,30,"1994-05-01 2023-05-01",17.43,2.58,30,"1994-05-01 2023-05-01",23.98,2.21,30,"1994-05-01 2023-05-01",-2.75,2.01,30,"1994-05-01 2023-05-01",32.76,5.47,30,"1994-05-01 2023-05-01",2.92,1.75,30,"1994-05-01 2023-05-01",2.99,1.27,30,"1994-05-01 2023-05-01",27.5,19.28,30,"1994-05-01 2023-05-01",,,,,,,,,0.5,0.92,14,"1994-05-01 2011-05-01",,,,
2024-04-01,-2.56,1.66,30,"1994-04-01 2023-04-01",81.53,4.89,30,"1994-04-01 2023-04-01",9.22,2.72,30,"1994-04-01 2023-04-01",23.74,1.84,30,"1994-04-01 2023-04-01",-9.17,1.95,30,"1994-04-01 2023-04-01",36.13,4.64,30,"1994-04-01 2023-04-01",-3.83,2.16,30,"1994-04-01 2023-04-01",3.27,1.5,30,"1994-04-01 2023-04-01",15.55,7.36,30,"1994-04-01 2023-04-01",,,,,,,,,9.9,9.65,26,"1994-04-01 2023-04-01",,,,
2024-03-01,-8.51,2.83,30,"1994-03-01 2023-03-01",83.42,5.48,30,"1994-03-01 2023-03-01",0.15,3.38,30,"1994-03-01 2023-03-01",21.6,1.93,30,"1994-03-01 2023-03-01",-16.96,3.82,30,"1994-03-01 2023-03-01",46.99,4.68,30,"1994-03-01 2023-03-01",-13.46,3.77,30,"1994-03-01 2023-03-01",2.7,1.07,30,"1994-03-01 2023-03-01",15.65,10.26,30,"1994-03-01 2023-03-01",,,,,,,,,27.3,14.11,27,"1994-03-01 2023-03-01",,,,
